NUMBER¤NAME¤INDEX¤OBJECTIVES¤hasOBJECTIVES¤INTRODUCTION¤hasINTRODUCTION¤PARTS¤hasPARTS¤VIDEO¤hasVIDEO¤DESCRIPTION¤hasDESCRIPTION¤CIRCUIT¤hasCIRCUIT¤CODE¤hasCODE¤MORE¤hasMORE¤LICENSE¤hasLICENSE
0¤0¤## Index¤## Objectives¤true¤## Introduction¤true¤## Parts¤true¤## Video tutorial¤true¤## Description¤true¤## Circuit¤true¤## Code¤true¤## Where to learn more¤true¤## License¤true,license
0¤Welcome¤¤* Get to know the structure of this course\n* Learn about the reasons for this book\n* Get to know the tools\n¤true,text¤¤false¤¤false¤¤false¤¤false¤¤false¤¤false¤¤false¤¤true,license
1¤The_kit¤¤* Learn about the parts of the kit needed\n* Distinguish between components and ready mades\n* Get to know Arduino boards\n¤true,text¤¤false¤In this course we suggest using a kit which will allow you to experiment with many interaction design aspects. The kit includes:\n\n* 1 x [Arduino Nano 33 BLE Sense](https://www.digikey.com/en/products/detail/arduino/ABX00035/10239974) with headers\n* 1 x [Breadboard 830 pins](https://www.amazon.se/gp/product/B073XH9GCQ/ref=ox_sc_act_title_8?smid=A2LKXTDY4SI9HN&psc=1)\n* 1 x set of [120 connection wires](https://www.amazon.se/gp/product/B07VCCJTXN/ref=ox_sc_act_title_7?smid=A1X7QLRQH87QA3&psc=1)\n* 1 x [potentiometer / trimmer](https://www.amazon.se/gp/product/B07YX8DMMS/ref=ox_sc_act_title_1?smid=A3BI8G9NTBZUKM&psc=1)\n* 3 x [buttons / tactile switches](https://www.amazon.se/gp/product/B08VGS9NPW/ref=ox_sc_act_title_2?smid=A249EEO40WNRMY&psc=1)\n* 1 x [Addressable LED ring](https://www.amazon.se/gp/product/B07V1GGKHV/ref=ox_sc_act_title_4?smid=A1X7QLRQH87QA3&psc=1)\n* 1 x [micro servo motor](https://www.amazon.se/gp/product/B07236N7Z2/ref=ox_sc_act_title_3?smid=A1QYNW8GSP8HVC&psc=1)\n* 1 x [micro USB cable](https://www.amazon.se/gp/product/B00BBPZCNI/ref=ox_sc_act_title_5?smid=ANU9KP01APNAG&psc=1)\n* 1 x [piezo speaker](https://www.amazon.se/gp/product/B08CZCTCMY/ref=ox_sc_act_title_6?smid=A2Z9I2LI17Q0KS&psc=1)\n* LEDs: 3 blue and 1 yellow\n¤true,text¤https://player.vimeo.com/video/525788797?h=281d358be6¤true,video¤¤false¤¤false¤¤false¤¤false¤¤true,license
2¤Communication¤¤* Discover other people interested in prototyping\n* Tools to communicate with classmates\n* How to report issues and get help\n¤true,text¤¤false¤¤false¤https://player.vimeo.com/video/525794655?h=fff4e18602¤true,video¤¤false¤¤false¤¤false¤¤false¤¤true,license
3¤Introduction_to_prototyping¤¤* Learn why prototyping is important for designers (and others)\n* Get to know projects made within different contexts\n* Find out interesting tools and techniques\n¤true,text¤¤false¤* Your computer\n¤true,text¤¤false¤¤false¤¤false¤¤false¤¤false¤¤true,license
4¤Breadboard¤¤* Learn about breadboard types\n* Try you own connection of components on the breadboad\n¤true,text¤¤false¤* Arduino board\n* Breadboard\n* Jumperwires\n* 1 x LED\n¤true,text¤¤false¤¤false¤https://upload.wikimedia.org/wikipedia/commons/1/19/Electronics-White-Breadboard.jpg¤true,image,remote¤¤false¤¤false¤¤true,license
5¤Jumperwires¤¤* Learn about jumperwires and cables\n* Practice color coding to simplify your work\n¤true,text¤¤false¤* Arduino board\n* Breadboard\n* Jumperwires\n¤true,text¤¤false¤¤false¤../../img/05_Jumperwires/wires.jpg¤true,image,local¤¤false¤¤false¤¤true,license
6¤Arduino_IDE¤¤* Discover programming environments\n* Learn the basics of Arduino's code editor\n* Identify the different parts of the editor\n¤true,text¤¤false¤* Your computer\n* The Arduino IDE¤true,text¤https://player.vimeo.com/video/525798753?h=f748b8ef74¤true,video¤¤false¤¤false¤¤false¤¤false¤¤true,license
7¤Programming_Arduino¤¤¤false¤¤false¤¤false¤¤false¤¤false¤¤false¤¤false¤¤false¤¤true,license
8¤Arduino_Cores_install_Nano_33_BLE¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/525820169?h=3ad3328261¤true,video¤¤false¤¤false¤¤false¤¤false¤¤true,license
9¤Your_first_program_blink¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/526673724?h=6bbdb9cd17¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
10¤The_LED¤¤¤false¤¤false¤¤false¤¤false¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
11¤Multicolored_LEDs¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/526678031?h=70752ae7ba¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
12¤BlinkRGB¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/526681657?h=2012290d9f¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
13¤Explore_sensors_intuitively¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/526697799?h=8249067253¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
14¤What_are_components¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527692409?h=d1fbec5bbe¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
15¤Buttons_tactile_switches¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527290564?h=2a7b2e5b39¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
16¤Buttons_library¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527406260?h=017ea47364¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
17¤Ohms_Law¤¤¤false¤¤false¤¤false¤¤false¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
18¤Resistors¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527697379?h=11ee1e7f3e¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
19¤Potentiometers¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527713993?h=b942914a3a¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
20¤Experiment_ButtonsRGB¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527429303?h=18cc00558b¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
21¤Actuators¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527960318?h=4ef324d152¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
22¤Servomotors¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527937284?h=e93dc4a1eb¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
23¤Variables¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527938676?h=a331466dd6¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
24¤Arrays¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527945252?h=fdbe9863a2¤true,video¤¤false¤¤false¤¤true,code,c_cpp,ino¤¤false¤¤true,license
25¤Addressable_LEDs_LEDring¤¤¤false¤¤false¤¤false¤https://player.vimeo.com/video/527960956?h=151fee0ae7¤true,video¤¤false¤¤false¤Introduction to code, amigos.¤true,code,c_cpp,ino¤¤false¤¤true,license
